"Domain","URL","Branch","Agency","Redirect","Participates in DAP?"
"vaccines.gov","http://www.vaccines.gov","executive","Department of Health And Human Services","No","Yes"
"vcf.gov","https://www.vcf.gov","executive","Department of Justice","No","Yes"
"vef.gov","http://vef.gov","executive","General Services Administration","No","Yes"
"vehiclehistory.gov","https://www.vehiclehistory.gov","executive","Department of Justice","No","Yes"
"vetbiz.gov","http://www.vetbiz.gov","executive","Department of Veterans Affairs","No","Yes"
"veterans.gov","http://veterans.gov","executive","Department of Labor","No","Yes"
"vets.gov","https://www.vets.gov","executive","Department of Veterans Affairs","No","Yes"
"visitthecapitol.gov","https://www.visitthecapitol.gov","executive","Architect of the Capitol","No","No"
"vistacampus.gov","https://www.vistacampus.gov","executive","Corporation for National & Community Service","No","No"
"volunteer.gov","https://www.volunteer.gov","executive","Department of the Interior","No","Yes"
"volunteeringinamerica.gov","https://www.volunteeringinamerica.gov","executive","Corporation for National & Community Service","No","No"
"vote.gov","https://vote.gov","executive","General Services Administration","No","Yes"
"wapa.gov","https://www.wapa.gov","executive","Department of Energy","No","No"
"watermonitor.gov","http://watermonitor.gov","executive","Department of the Interior","No","No"
"wdol.gov","http://wdol.gov","executive","Department of Commerce","No","No"
"weather.gov","http://www.weather.gov","executive","Department of Commerce","No","Yes"
"webharvest.gov","https://webharvest.gov","executive","National Archives and Records Administration","No","No"
"whistleblower.gov","https://whistleblower.gov","executive","Commodity Futures Trading Commission","No","No"
"whistleblowers.gov","http://whistleblowers.gov","executive","Department of Labor","No","Yes"
"whitehouse.gov","https://www.whitehouse.gov","executive","Executive Office of the President","No","Yes"
"whitehouseconferenceonaging.gov","https://whitehouseconferenceonaging.gov","executive","Department of Health And Human Services","No","No"
"wildfire.gov","http://www.wildfire.gov","executive","Department of Agriculture","No","No"
"wildlifeadaptationstrategy.gov","https://www.wildlifeadaptationstrategy.gov","executive","Department of the Interior","No","No"
"wizard.gov","http://wizard.gov","executive","Department of the Treasury","No","Yes"
"wlci.gov","https://www.wlci.gov","executive","Department of the Interior","No","Yes"
"womenfarmerclaims.gov","https://www.womenfarmerclaims.gov","executive","Department of Agriculture","No","No"
"womenshealth.gov","https://www.womenshealth.gov","executive","Department of Health And Human Services","No","Yes"
"wrp.gov","https://www.wrp.gov","executive","Department of Labor","No","Yes"
"youth.gov","http://youth.gov","executive","Department of Health And Human Services","No","No"
"youthgo.gov","https://youthgo.gov","executive","Department of the Interior","No","No"
"youthrules.gov","http://www.youthrules.gov","executive","Department of Labor","No","Yes"
